DNI,Id. Empleat,Tipus de sol�licitud,CP,Telefon,DataNaix,Sexe,Email per notificacions,CP per notificacions,%Minus,Adaptacio Centre base,Apte Segons centre base,exclos,Niv cat,Comprobar amb pol. lingüística,proba física superada,carnet conducir,examen1,examen2,examen3,examen4,examen5,Municipi
29142064Y,6808242,PreZëncial,07158,+34 740463883,02/09/1997,F,iqvajcuong@hotmail.com,07544,0.0,False,True,False,A2,True,True,Si,2.38,6.41,7.28,NP,4.35,Artà
XE106246,6419363,Certificat digital,07603,+34 758793216,24/06/1987,F,vbmovtrxh@hotmail.com,07500,0.0,False,True,False,C1,True,True,Sí,8.69,7.3,6.95,6.63,NP,Son Servera
70104658Z,6634287,PreZëncial,07544,+34 141133785,15/06/1983,F,jxilgeq@outlook.com,07805,0.0,False,True,False,A2,True,False,Sí,9.66,8.24,7.67,6.07,8.46,Lloseta
40356914X,2045122,Certificat digital,07516,+34 328231407,26/01/1997,F,umsotakoi@hotmail.com,07603,0.0,False,True,False,B1,True,True,No,1.36,10.0,NP,0.0,4.93,Santanyí
99095531P,7449236,PreZëncial,07805,+34 634060708,26/03/1979,M,lspgnhzcu@example.com,07222,0.0,False,True,False,A2,True,True,Sí,6.07,7.82,6.38,5.04,10.0,Ibiza
19459669J,5226611,PreZëncial,07126,+34 644978631,18/04/1987,F,oqqqw@hotmail.com,07500,0.0,False,True,False,C1,True,True,Sí,NP,5.71,7.07,5.68,4.06,Santa Eulalia del Río (Santa Eulària des Riu)
ND751757,9243705,PreZëncial,07792,+34 136590273,23/06/1975,F,ikxem@gmail.com,07431,0.0,False,True,False,B2,True,True,No,NP,7.3,7.77,9.57,0.76,Algaida
89778845R,6215257,Correu electrònic,07404,+34 453981975,02/09/2002,F,veeokan@gmail.com,07612,0.0,False,True,False,C1,True,True,Sí,6.48,9.62,7.54,3.42,10.0,Sant Antoni de Portmany
69113538X,2555143,PreZëncial,07544,+34 041063404,12/11/1987,M,eqbdhzyxia@gmail.com,07612,0.0,False,True,False,B2,True,True,No,1.81,5.99,6.14,7.7,7.32,Lloseta
23498620A,493416,PreZëncial,07500,+34 296054741,21/12/1984,M,sgkdhw@example.com,07740,0.0,False,True,False,B1,True,True,Sí,9.51,8.45,5.27,7.75,1.35,Campos
32839082G,2724597,PreZëncial,07038,+34 043501258,07/08/2002,F,brinw@gmail.com,07792,0.0,False,True,False,B2,True,True,Sí,7.08,5.92,7.07,8.97,3.84,Consell
SM949876,7917658,PreZëncial,07603,+34 961529287,28/12/1998,M,msnjeje@outlook.com,07612,0.0,False,True,False,C1,True,True,Sí,9.47,,6.97,3.99,7.46,Son Servera
23584580N,3924182,PreZëncial,07158,+34 747032900,03/04/2004,F,njbnanbvr@gmail.com,07158,0.0,False,True,False,A2,True,True,Si,5.31,10.0,6.83,4.34,NP,Artà
68131566T,3735067,PreZëncial,07657,+34 461962878,09/09/1974,F,tkwsawu@gmail.com,07431,0.0,False,True,False,A2,True,True,Si,2.99,8.16,,5.54,7.58,Ses Salines
YN574484,6250987,PreZëncial,07792,+34 754900369,20/02/1979,F,yxqdnp@outlook.com,07544,0.0,False,True,False,B1,True,False,Sí,10.0,7.09,NP,7.34,6.59,Algaida
30572265K,7477797,Certificat digital,07603,+34 882471676,10/10/1987,F,xhjuxpw@yahoo.com,07404,0.0,False,True,False,B2,True,False,Sí,6.91,6.9,NP,6.08,0.0,Son Servera
97018094T,5702453,PreZëncial,07038,+34 375641634,28/03/2001,F,jshkuunl@gmail.com,07991,41.0,False,True,False,C1,True,True,Sí,10.0,7.88,7.17,6.91,4.87,Consell
38426609A,3343779,Certificat digital,07737,+34 996686774,17/08/1983,F,gjnadx@example.com,07803,0.0,False,True,False,B1,True,True,Sí,0.29,8.95,8.92,4.72,9.79,Mahón (Maó)
95568185B,2731516,Certificat digital,07158,+34 632574225,17/05/1979,M,eqcam@yahoo.com,07950,42.0,False,True,False,B2,True,True,Sí,10.0,10.0,NP,4.55,NP,Artà
44376728E,2981984,Correu electrònic,07038,+34 265359998,12/09/1988,M,rgikdmtwz@outlook.com,07657,0.0,False,True,False,B2,True,True,Sí,1.98,10.0,7.2,8.16,1.12,Consell
87608606L,3169980,PreZëncial,07544,+34 357913848,22/12/1984,M,jzrdejsl@outlook.com,07121,0.0,False,True,False,B2,True,True,Sí,0.0,8.4,8.2,2.32,3.59,Lloseta
30465322M,2095149,Certificat digital,07200,+34 468366614,25/05/1984,F,cgiaxqdu@gmail.com,07805,0.0,False,True,False,A1,True,True,Sí,10.0,10.0,6.83,5.34,9.19,Sant Josep de sa Talaia
96645581H,5985680,PreZëncial,07404,+34 311399203,23/12/2003,F,vdtrhwukyx@outlook.com,07603,0.0,False,True,False,B2,True,True,Si,10.0,4.33,9.01,7.33,10.0,Sant Antoni de Portmany
81966441F,8507389,Certificat digital,07740,+34 626100580,07/11/2000,F,phxxiupb@outlook.com,07657,0.0,False,True,False,B2,True,True,Sí,7.79,9.91,9.25,4.69,5.94,Ciutadella de Menorca
71870059G,4921150,PreZëncial,07991,+34 107955400,21/04/1982,F,fspdntxbvl@yahoo.com,07740,0.0,False,True,False,B2,True,True,Sí,0.09,9.59,,1.18,7.97,Petra
69253601A,3346631,Correu electrònic,07595,+34 584634411,19/08/1978,F,modgqa@outlook.com,07603,0.0,False,True,False,B1,True,True,Sí,0.68,10.0,5.29,NP,6.48,Llucmajor
51157740J,5059772,PreZëncial,07805,+34 146724875,05/01/1976,M,zgbdpldwd@hotmail.com,07494,0.0,False,True,False,B1,True,True,Sí,0.0,NP,8.0,5.74,10.0,Ibiza
46391995Y,9045226,Certificat digital,07657,+34 175725438,26/04/1997,M,vwtoinrsqi@gmail.com,07158,0.0,False,True,False,B1,True,True,Si,NP,10.0,7.85,,NP,Ses Salines
51539339L,184521,PreZëncial,07516,+34 736135090,11/11/1979,F,rviswatuti@gmail.com,07747,0.0,False,True,False,B2,True,True,Sí,10.0,9.3,6.95,4.87,9.65,Santanyí
AX146771,1448331,PreZëncial,07595,+34 169783492,30/01/1985,M,kcknlslm@yahoo.com,07360,0.0,False,True,False,C1,True,True,Sí,NP,10.0,8.0,1.53,0.0,Llucmajor
UB961175,9348103,PreZëncial,07792,+34 759262627,28/01/1980,F,uzhmot@gmail.com,07494,0.0,False,True,False,C1,True,True,Sí,7.47,8.81,6.02,0.0,0.0,Algaida
56138522F,8201690,PreZëncial,07737,+34 272585803,09/05/1989,M,kerbtvod@hotmail.com,07915,0.0,False,True,False,C1,True,True,Sí,6.02,9.31,7.49,0.57,10.0,Mahón (Maó)
11541817A,302355,Correu electrònic,07544,+34 722696879,22/04/1997,M,drgev@gmail.com,07544,0.0,False,True,False,C1,True,True,Sí,8.52,6.46,5.83,10.0,6.43,Lloseta
48245375T,487310,Certificat digital,07737,+34 192616602,27/10/1974,M,ojbbnhve@gmail.com,07803,0.0,False,True,False,A2,True,True,Sí,9.42,10.0,NP,8.66,1.12,Mahón (Maó)
ZB115165,6551419,PreZëncial,07516,+34 399745029,23/01/1982,F,huvmat@example.com,07222,0.0,False,True,False,B1,True,True,Sí,10.0,5.94,8.62,7.18,NP,Santanyí
ZY339935,5000386,PreZëncial,07792,+34 496560574,20/11/1975,M,nasrd@yahoo.com,07950,13.0,False,True,False,B2,True,True,Sí,NP,NP,7.09,NP,10.0,Algaida
87801368H,107918,Certificat digital,07803,+34 734529148,04/02/1991,M,odyyhnpbbg@hotmail.com,07612,0.0,False,True,False,A2,True,True,Si,,9.78,6.62,0.0,0.16,Felanitx
QP683690,2426347,PreZëncial,07603,+34 185038510,16/12/1983,M,osttm@yahoo.com,07905,0.0,False,True,False,C1,True,True,Sí,0.0,6.54,9.15,7.51,2.8,Son Servera
KY497296,2962993,PreZëncial,07222,+34 626401605,28/12/2001,F,zkwuuzxjch@gmail.com,07991,0.0,False,True,False,B2,True,True,Sí,NP,9.34,7.35,5.38,5.31,Pollença
33755953A,6198379,Correu electrònic,07747,+34 486639382,05/12/2004,F,mozlt@hotmail.com,07737,0.0,False,True,False,B2,True,True,No,0.78,NP,7.49,8.45,7.76,Inca
48934239Z,3711293,PreZëncial,07126,+34 814561385,29/09/1974,F,tnwjnld@gmail.com,07121,0.0,False,True,False,B1,True,True,Sí,NP,6.9,5.34,NP,4.95,Santa Eulalia del Río (Santa Eulària des Riu)
TM120351,5582101,PreZëncial,07805,+34 036402815,13/05/1987,M,ecmoezfzp@outlook.com,07404,0.0,False,True,False,B1,True,True,Sí,10.0,8.19,6.03,NP,0.0,Ibiza
02863454T,6620873,Correu electrònic,07950,+34 616257706,21/07/1981,F,nspdlgj@hotmail.com,07950,0.0,False,True,False,B2,True,True,Si,10.0,10.0,6.38,NP,10.0,Búger
89696056N,1816539,PreZëncial,07603,+34 266438999,05/04/2005,F,btftrtxbpi@hotmail.com,07516,0.0,False,True,False,B1,True,True,Sí,0.0,7.85,5.16,4.05,6.43,Son Servera
85241405R,2704515,PreZëncial,07950,+34 617794447,30/06/1981,M,mffncgnkc@gmail.com,07544,0.0,False,True,False,B2,True,False,Sí,8.41,,7.24,NP,9.46,Búger
73669015S,594791,PreZëncial,07950,+34 579243077,12/11/1996,F,glrbhghmz@yahoo.com,07121,0.0,False,True,False,B2,True,True,Sí,10.0,6.37,8.25,3.18,2.22,Búger
FA036851,3453951,Certificat digital,07431,+34 866982067,26/03/1998,F,rgobfrw@yahoo.com,07950,0.0,False,True,False,A2,True,True,Si,3.07,7.92,NP,NP,3.7,Palma de Mallorca
VL275957,3631165,PreZëncial,07657,+34 914889663,22/05/1983,F,nunvj@example.com,07805,0.0,False,True,False,C1,True,True,Sí,0.0,6.94,NP,8.78,10.0,Ses Salines
11824002R,8837224,PreZëncial,07657,+34 366851580,13/06/1987,M,ijnld@example.com,07200,0.0,False,True,False,A2,True,True,Sí,10.0,7.38,7.49,4.49,3.69,Ses Salines
92524489C,7658879,Certificat digital,07792,+34 774835140,24/05/1985,N,breigeeot@example.com,07805,25.0,False,True,False,C1,True,True,No,4.52,8.21,6.2,1.36,2.73,Algaida
51614099Y,7854362,PreZëncial,07121,+34 199028358,24/04/2003,M,tvsmytvy@hotmail.com,07404,0.0,False,True,False,C2,True,True,No,3.43,8.77,6.87,8.95,10.0,Alcúdia
UH045909,3297690,PreZëncial,07222,+34 265489899,01/08/1996,M,wnpoufubdo@outlook.com,07915,0.0,False,True,False,B2,True,True,Sí,7.13,2.94,8.37,4.16,7.6,Pollença
NY620449,7830727,PreZëncial,07360,+34 006223735,19/01/1994,M,iatvf@outlook.com,07737,0.0,False,True,False,B1,True,True,Sí,0.0,8.03,6.34,NP,6.89,Marratxí
LC239050,2807584,Certificat digital,07126,+34 699464815,01/04/1985,M,csphuaj@example.com,07126,0.0,False,True,False,A2,True,True,Sí,10.0,10.0,7.32,1.48,3.27,Santa Eulalia del Río (Santa Eulària des Riu)
96135041D,1793484,PreZëncial,07222,+34 240510525,13/02/1991,F,hthhehbcs@yahoo.com,07544,0.0,False,True,False,C1,True,True,Sí,3.4,8.81,7.0,3.49,NP,Pollença
11730652P,2435104,PreZëncial,07360,+34 453879680,27/07/1978,F,dhyrbog@outlook.com,07950,20.0,False,True,False,B1,True,True,Sí,2.86,4.22,7.19,8.99,0.88,Marratxí
15844747R,1539848,Certificat digital,07603,+34 646498136,27/11/1988,F,slasfkue@hotmail.com,07740,0.0,False,True,False,B1,True,True,Sí,7.23,10.0,7.07,7.0,9.82,Son Servera
QG167946,3808676,Correu electrònic,07905,+34 748959924,12/02/1988,M,avssggod@hotmail.com,07222,0.0,False,True,False,B1,True,True,Sí,0.0,7.44,NP,5.17,6.85,Sant Joan de Labritja
04170968X,4735214,PreZëncial,07038,+34 427191169,26/11/1983,F,kataqrpjd@example.com,07792,0.0,False,True,False,B1,True,True,Sí,8.93,NP,7.02,5.18,0.51,Consell
KG688408,5058828,Correu electrònic,07158,+34 860132809,10/10/1976,F,abwdykqhw@yahoo.com,07222,0.0,False,True,False,B1,True,True,Si,7.22,10.0,4.67,0.25,10.0,Artà
48792533B,1454534,Certificat digital,07905,+34 572229910,01/02/1977,F,jebbocuk@gmail.com,07950,0.0,False,True,False,C2,True,True,No,NP,NP,6.3,7.85,7.57,Sant Joan de Labritja
64866544N,6663219,PreZëncial,07494,+34 885252164,12/04/1989,M,telcl@outlook.com,07603,0.0,False,True,False,B2,True,True,Sí,0.0,9.41,6.66,8.92,4.38,Sant Llorenç des Cardassar
27330096R,5781129,Correu electrònic,07792,+34 000195690,28/04/1978,F,ckmsxnpj@gmail.com,07818,0.0,False,True,False,B2,True,True,No,10.0,5.36,6.82,0.0,8.15,Algaida
00886226J,1930756,Certificat digital,07595,+34 561426745,02/02/2004,F,hrfuzlhxti@yahoo.com,07404,0.0,False,True,False,B1,True,True,Sí,10.0,9.6,7.79,6.72,1.63,Llucmajor
UV091567,4149733,PreZëncial,07500,+34 033706913,12/09/1978,M,npjwir@gmail.com,07803,0.0,False,True,False,B2,True,True,Sí,4.73,8.54,7.13,,6.49,Campos
EL619763,5427917,Certificat digital,07038,+34 995332056,01/09/1974,M,eosulya@yahoo.com,07126,0.0,False,True,False,B2,True,True,Sí,NP,2.62,6.69,5.47,6.69,Consell
WC570215,7897391,Certificat digital,07915,+34 610656074,23/03/2005,F,yfxpmjovr@yahoo.com,07915,0.0,False,True,False,C1,True,True,Sí,3.14,9.04,6.06,1.3,10.0,Capdepera
96474971E,9103075,PreZëncial,07544,+34 908087679,26/06/1983,M,zooktqp@example.com,07905,0.0,False,True,False,B2,True,True,No,9.45,3.44,6.94,2.7,2.12,Lloseta
35810489H,8738554,PreZëncial,07603,+34 752074115,02/10/1990,F,becyqj@outlook.com,07818,22.0,False,True,False,C2,True,True,Sí,5.2,NP,7.2,3.74,5.93,Son Servera
PT712839,3970102,Certificat digital,07200,+34 560454739,15/02/1999,M,vrtdaemz@yahoo.com,07038,0.0,False,True,False,B1,True,True,Si,3.06,9.84,10.0,2.23,8.54,Sant Josep de sa Talaia
33511449N,1606261,PreZëncial,07431,+34 782205732,07/01/1975,F,kwyjyocipn@hotmail.com,07544,0.0,False,True,False,B1,True,True,Sí,NP,9.71,6.89,7.09,8.17,Palma de Mallorca
01710798N,2672843,Correu electrònic,07516,+34 920059238,18/05/1987,F,fbdxec@outlook.com,07595,0.0,False,True,False,C1,True,True,Sí,3.79,9.75,NP,2.46,7.94,Santanyí
50259526H,7770649,PreZëncial,07431,+34 854481083,17/11/2000,F,qmmmjw@hotmail.com,07431,0.0,False,True,False,A2,True,True,Sí,7.15,4.45,4.63,5.48,3.7,Palma de Mallorca
59256865X,3208003,Certificat digital,07905,+34 207567336,12/12/1974,M,ymxfvym@hotmail.com,07222,0.0,False,True,False,B1,True,True,Sí,0.0,7.19,5.34,7.62,4.18,Sant Joan de Labritja
60986177K,3243514,Certificat digital,07737,+34 042708129,06/06/1978,F,jzqcpyhapw@gmail.com,07494,0.0,False,True,False,C2,True,True,Sí,8.8,NP,6.92,NP,3.2,Mahón (Maó)
97882776C,3927870,PreZëncial,07657,+34 879700159,05/12/1989,F,pggdflefq@gmail.com,07612,0.0,False,True,False,C1,True,True,Sí,NP,10.0,8.24,4.48,7.44,Ses Salines
OC926612,2161115,PreZëncial,07740,+34 596348017,08/05/1997,F,ufbhdbxt@example.com,07603,0.0,False,True,False,B1,True,True,Sí,10.0,9.65,7.48,10.0,4.79,Ciutadella de Menorca
94944368T,7426916,PreZëncial,07792,+34 096463984,16/07/1985,F,yjttw@example.com,07431,0.0,False,True,False,C2,True,True,Sí,3.54,4.51,6.73,6.87,NP,Algaida
73587543D,6186755,Correu electrònic,07404,+34 439078099,17/02/1997,F,xmfmy@example.com,07915,0.0,False,True,False,B2,True,True,Sí,9.19,7.88,8.07,4.0,NP,Sant Antoni de Portmany
83511421P,3576977,PreZëncial,07121,+34 977392856,27/12/1973,F,gcbzvypv@hotmail.com,07950,0.0,False,True,False,A2,True,True,No,3.81,8.24,7.63,5.4,4.81,Alcúdia
97641902W,5571097,PreZëncial,07747,+34 561054381,23/12/1976,F,mplnmcgpn@example.com,07603,0.0,False,True,False,B2,True,True,Sí,10.0,8.38,,3.48,NP,Inca
15837868E,6123259,PreZëncial,07737,+34 199724587,18/08/1997,M,wcricth@hotmail.com,07038,0.0,False,True,False,B2,True,True,Sí,7.12,10.0,8.68,NP,10.0,Mahón (Maó)
CW369724,7221712,PreZëncial,07603,+34 847822976,14/07/1982,M,srzohaii@example.com,07158,0.0,False,True,False,B2,True,True,Sí,7.94,NP,7.21,NP,10.0,Son Servera
43398064P,3716072,PreZëncial,07126,+34 076712832,04/07/1992,F,odaey@yahoo.com,07494,0.0,False,True,False,B1,True,True,No,6.76,2.52,7.47,,7.39,Santa Eulalia del Río (Santa Eulària des Riu)
VU235423,8192046,PreZëncial,07431,+34 171354349,04/05/1991,M,oteiwmndhv@example.com,07360,0.0,False,True,False,A2,True,True,Sí,5.96,10.0,6.11,NP,2.95,Palma de Mallorca
